,id,location,lat,lon
126,5659,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541
127,5661,"Karve Road Pune, Pune - MPCB",18.5011743,73.8165527
128,5662,"Nehru Nagar, Kanpur - UPPCB",26.4703136,80.3229863
129,5664,"PWD Grounds, Vijayawada - APPCB",16.507014,80.627767
130,5665,"Vasundhara, Ghaziabad - UPPCB",28.6603346,77.3572563
131,5667,"Bhopal Chauraha, Dewas - MPPCB",22.9682591,76.064118
132,5742,"Patparganj, Delhi - DPCC",28.6310495,77.2846218
133,5743,"Rohini, Delhi - DPCC",28.7407056,77.0577492
134,5744,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.4997315,77.2649067
135,5745,"Ghusuri, Howrah - WBPCB",22.5565568,87.895755
136,5753,"Vivek Vihar, Delhi - DPCC",28.6687803,77.3130982
137,5754,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.5828503,77.2321778
138,5755,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.6125027,77.2351994
139,5759,"Sonia Vihar, Delhi - DPCC",28.67795,77.29868
140,5760,"Dwarka-Sector 8, Delhi - DPCC ",28.5206826,76.8023871
141,5761,"Jahangirpuri, Delhi - DPCC",28.7258373,77.1605631
142,5762,"Ashok Vihar, Delhi - DPCC",28.6957202,77.1812947
143,5763,"Narela, Delhi - DPCC",28.8446874,77.0332666
144,5765,"Okhla Phase-2, Delhi - DPCC",28.5366411,77.2664587
145,5766,"Nehru Nagar, Delhi - DPCC",28.5639543,77.2587868
146,6310,"Rabindra Bharati University, Kolkata - WBPCB",22.5824635,88.35724470000001
147,6314,"NISE Gwal Pahari, Gurugram - IMD",28.4228859,76.8496963
148,6356,"Pusa, Delhi - DPCC",28.639645,77.146262
149,6357,"Punjabi Bagh, Delhi - DPCC",28.674045000000003,77.13102300000001
150,6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067
151,6359,"IHBAS, Dilshad Garden,New Delhi - CPCB",28.6811736,77.3025234
152,6442,"Ratanpura, Rupnagar - Ambuja Cements",31.0325454,76.5623046
153,6443,"Bandhavgar Colony, Satna - Birla Cement",24.58434363,80.8549414
