Station Name,City,State,AQI,Latitude,Longitude
"Naharlagun, Naharlagun, India",Naharlagun,Other/India,98,27.103358,93.679645
"Nathu Colony, Ballabgarh, India",Nathu Colony,Other/India,169,28.3419248,77.319699
"New DM Office, Arrah, India",New DM Office,Other/India,53,25.5626095,84.663264
"New Mandi, Muzaffarnagar, India",New Mandi,Other/India,92,29.4723508,77.7194031
"Ngari Station, Ngari Sanai (阿里地区阿里监测站)",Ngari Station,Other/India,47,32.5,80.1161
"Omex Eternity, Vrindavan, India",Omex Eternity,Other/India,32,27.571409,77.655757
"Paryavaran Parisar, Bhopal, India",Paryavaran Parisar,Other/India,154,23.210494,77.425409
"Patti Mehar, Ambala, India",Patti Mehar,Other/India,110,30.379589,76.778328
"Polayathode, Kollam, India",Polayathode,Other/India,82,8.8787,76.6073
"Police Line, Saharsa, India",Police Line,Other/India,30,25.892357,86.590325
"Police Lines, Jind, India",Police Lines,Other/India,73,29.307814,76.337619
"Punjab Agricultural University, Ludhiana, India",Punjab Agricultural University,Other/India,101,30.9028,75.8086
"RIMT University, Mandi Gobindgarh, India",RIMT University,Other/India,147,30.649961,76.331442
"Ramteerth Nagar, Belgaum, India",Ramteerth Nagar,Other/India,-,15.888653,74.541751
"Ratanpura, Rupnagar, India",Ratanpura,Other/India,65,31.0325454,76.5623046
"Rishi Nagar, Kaithal, India",Rishi Nagar,Other/India,84,29.8006,76.4155
"SDM Office_Khagra, Kishanganj, India",SDM Office_Khagra,Other/India,91,26.0881305,87.93840336
"Sahilara, Maihar, India",Sahilara,Other/India,82,24.2613009,80.7231783
"Sardar Patel Inter College, Baghpat, India",Sardar Patel Inter College,Other/India,57,28.964949,77.278761
"Sector 30, Faridabad, India",Sector 30,Other/India,157,28.4417,77.3217
"Sector 6 Panchkula, Panchkula, India",Sector 6 Panchkula,Other/India,111,30.7057778,76.8531805555555
"Sector-12, Karnal, India",Sector-12,Other/India,69,29.6953,77.0027
"Sector-18, Panipat, India",Sector-18,Other/India,-,29.497973,76.993331
"Sector-2 IMT, Manesar, India",Sector-2 IMT,Other/India,63,28.360699,76.93609
"Sector-2 Industrial Area, Pithampur, India",Sector-2 Industrial Area,Other/India,102,22.624758,75.675238
"Sector-7, Kurukshetra, India",Sector-7,Other/India,101,29.966942,76.875879
"Sector-D Industrial Area, Mandideep, India",Sector-D Industrial Area,Other/India,151,23.10844,77.511428
"Shasthri Nagar, Ratlam, India",Shasthri Nagar,Other/India,64,23.331731,75.045981
"Shastri Nagar, Narnaul, India",Shastri Nagar,Other/India,99,28.060249,76.113115
"Shivaji Nagar, Jhansi, India",Shivaji Nagar,Other/India,50,25.4547,78.6039
"Shrinath Puram, Kota, India",Shrinath Puram,Other/India,118,25.14389,75.821256
"Shrivastav Colony, Damoh, India",Shrivastav Colony,Other/India,63,23.81748678,79.446246
"Sidhu Kanhu Indoor Stadium, Durgapur, India",Sidhu Kanhu Indoor Stadium,Other/India,78,23.5404352,87.2892225
"Stuart Hill, Madikeri, India",Stuart Hill,Other/India,52,12.415911,75.73505
"Talcher Coalfields, Talcher, India",Talcher Coalfields,Other/India,108,20.9360711,85.1707021
"Tata Stadium, Jorapokhar, India",Tata Stadium,Other/India,87,23.707909,86.41467
"Thavakkara, Kannur, India",Thavakkara,Other/India,156,11.875,75.3732
"Town Hall, Munger, India",Town Hall,Other/India,68,25.376776,86.471523
"Udyogamandal, Eloor, India",Udyogamandal,Other/India,-,10.073232,76.302765
"Urban, Chamarajanagar, India",Urban,Other/India,63,11.55358,76.55521
"Urban Estate-II, Hisar, India",Urban Estate-II,Other/India,61,29.14056,75.744941
"Vibhab Nagar, Firozabad, India",Vibhab Nagar,Other/India,69,27.1594,78.3953
"Vidayagiri, Bagalkot, India",Vidayagiri,Other/India,69,16.172806,75.659694
"Vijay Nagar, Ramanagara, India",Vijay Nagar,Other/India,81,12.733409,77.298051
"Vikas Sadan Gurgaon, Gurgaon, India",Vikas Sadan Gurgaon,Other/India,159,28.4501238,77.0263051
"Vindhyachal STPS, Singrauli, India",Vindhyachal STPS,Other/India,103,24.10897,82.64558
"Vinoba Nagara, Shivamogga, India",Vinoba Nagara,Other/India,58,13.94,75.555917
"More Chowk, Waluj, Aurangabad, India",Waluj,Other/India,74,19.8389439,75.244448
"Ward-32 Bapupara, Siliguri, India",Ward-32 Bapupara,Other/India,92,26.6883049,88.412668
"Yamunapuram, Bulandshahr, India",Yamunapuram,Other/India,68,28.406963,77.849831
"Ashok Nagar, Udaipur, India",Ashok Nagar,Rajasthan,104,24.5886166,73.6321397
"Civil Lines, Ajmer, India",Civil Lines,Rajasthan,95,26.470859,74.646594
"Collectorate, Jodhpur, India",Collectorate,Rajasthan,80,26.268249,73.0193853
