Station Name,City,State,AQI,Latitude,Longitude
"Naharlagun, Naharlagun, India",Naharlagun,Naharlagun,117,27.103358,93.679645
"GIDC, Nandesari, India",GIDC,Nandesari,89,22.410802,73.097923
"Shastri Nagar, Narnaul, India",Shastri Nagar,Narnaul,98,28.060249,76.113115
"Gangapur Road, Nashik, India",Gangapur Road,Nashik,41,20.0073285,73.7762427
"Ngari Station, Ngari Sanai (阿里地区阿里监测站)",Ngari Station,Ngari Station,47,32.5,80.1161
"Indira Colony Vistar, Pali, India",Indira Colony Vistar,Pali,143,25.771061,73.340227
"Sector 6 Panchkula, Panchkula, India",Sector 6 Panchkula,Panchkula,111,30.7057778,76.8531805555555
"Sector-18, Panipat, India",Sector-18,Panipat,-,29.497973,76.993331
"Model Town, Patiala, India",Model Town,Patiala,59,30.349388,76.366642
"Muradpur, Patna, India",Muradpur,Patna,130,25.619651,85.147382
"Samanpura, Patna, India",Samanpura,Patna,147,25.596727,85.085624
"Sector-2 Industrial Area, Pithampur, India",Sector-2 Industrial Area,Pithampur,100,22.624758,75.675238
"Jhunsi, Prayagraj, India",Jhunsi,Prayagraj,60,25.425602,81.917152
"Nagar Nigam, Prayagraj, India",Nagar Nigam,Prayagraj,52,25.44919916,81.82735986
"Jawahar Nagar, Puducherry, India",Jawahar Nagar,Puducherry,23,11.9309,79.8027
"Mariam Nagar, Purnia, India",Mariam Nagar,Purnia,113,25.366336,87.117468
"Haji Colony, Raichur, India",Haji Colony,Raichur,-,16.208139,77.348417
"Anand Kala Kshetram, Rajamahendravaram, India",Anand Kala Kshetram,Rajamahendravaram,54,16.9872867,81.7363176
"Dangi Tola, Rajgir, India",Dangi Tola,Rajgir,71,25.0328,85.41948
"Vijay Nagar, Ramanagara, India",Vijay Nagar,Ramanagara,80,12.733409,77.298051
"Shasthri Nagar, Ratlam, India",Shasthri Nagar,Ratlam,64,23.331731,75.045981
"Ratanpura, Rupnagar, India",Ratanpura,Rupnagar,65,31.0325454,76.5623046
"Deen Dayal Nagar, Sagar, India",Deen Dayal Nagar,Sagar,59,23.8640158,78.80289321
"Police Line, Saharsa, India",Police Line,Saharsa,33,25.892357,86.590325
"DM Office_Kasipur, Samastipur, India",DM Office_Kasipur,Samastipur,72,25.859655,85.77944
"Dada Peer, Sasaram, India",Dada Peer,Sasaram,40,24.952822,84.002396
"Bandhavgar Colony, Satna, India",Bandhavgar Colony,Satna,88,24.58434363,80.8549414
"JN Stadium, Shillong, India",JN Stadium,Shillong,84,25.5803419,91.8942571
"Vinoba Nagara, Shivamogga, India",Vinoba Nagara,Shivamogga,57,13.94,75.555917
"Ward-32 Bapupara, Siliguri, India",Ward-32 Bapupara,Siliguri,92,26.6883049,88.412668
"Vindhyachal STPS, Singrauli, India",Vindhyachal STPS,Singrauli,98,24.10897,82.64558
"F-Block, Sirsa, India",F-Block,Sirsa,79,29.5364,75.0158
"Girls College, Sivasagar, India",Girls College,Sivasagar,59,26.987634,94.636574
"Chitragupta Nagar, Siwan, India",Chitragupta Nagar,Siwan,76,26.2271665,84.3570427
"Murthal, Sonipat, India",Murthal,Sonipat,110,29.0272,77.0621
"Rajbagh, Srinagar, India",Rajbagh,Srinagar,44,34.066206,74.81982
"Surkhet, Nepal",Surkhet,Surkhet,73,28.678541,81.472938
"Talcher Coalfields, Talcher, India",Talcher Coalfields,Talcher,108,20.9360711,85.1707021
"Kariavattom, Thiruvananthapuram, India",Kariavattom,Thiruvananthapuram,99,8.5637,76.8865
"Meelavittan, Thoothukudi, India",Meelavittan,Thoothukudi,50,8.816428,78.099039
"Corporation Ground, Thrissur, India",Corporation Ground,Thrissur,93,10.5324,76.2159
"Tirumala-APPCB, Tirupati, India",Tirumala-APPCB,Tirupati,93,13.67,79.35
"Ashok Nagar, Udaipur, India",Ashok Nagar,Udaipur,104,24.5886166,73.6321397
"Brahmagiri, Udupi, India",Brahmagiri,Udupi,36,13.34194444,74.74694444
"Phase-1 GIDC, Vapi, India",Phase-1 GIDC,Vapi,78,20.362421,72.918013
"Ardhali Bazar, Varanasi, India",Ardhali Bazar,Varanasi,112,25.3505986,82.9083074
"Phase-4 GIDC, Vatva, India",Phase-4 GIDC,Vatva,152,22.969611,72.6435
"Ibrahimpur, Vijayapura, India",Ibrahimpur,Vijayapura,63,16.802639,75.722694
"GVM Corporation, Visakhapatnam, India",GVM Corporation,Visakhapatnam,113,17.72,83.3
"Omex Eternity, Vrindavan, India",Omex Eternity,Vrindavan,34,27.571409,77.655757
"Collector Office, Yadgir, India",Collector Office,Yadgir,112,16.7602,77.1428
"Gobind Pura, Yamuna Nagar, India",Gobind Pura,Yamuna Nagar,131,30.1480566,77.2893471
